,cell_names,drug_names,area_under_dose_curve
0,OVK18,(-)-gallocatechin-3-monogallate,0.52
1,WSUDLCL2,(-)-gallocatechin-3-monogallate,0.718
2,NCIH1105,(-)-gallocatechin-3-monogallate,0.746
3,SUDHL5,(-)-gallocatechin-3-monogallate,0.96
4,COV434,(-)-gallocatechin-3-monogallate,1.212
5,SNUC5,(-)-gallocatechin-3-monogallate,1.451
6,SUDHL4,(-)-gallocatechin-3-monogallate,1.562
7,NCIH1963,(-)-gallocatechin-3-monogallate,1.647
8,KMS11,(-)-gallocatechin-3-monogallate,1.696
9,PL21,(-)-gallocatechin-3-monogallate,1.732
10,OVCAR8,(-)-gallocatechin-3-monogallate,2.056
11,SCLC21H,(-)-gallocatechin-3-monogallate,2.287
12,OVCAR4,(-)-gallocatechin-3-monogallate,2.69
13,GDM1,(-)-gallocatechin-3-monogallate,2.707
14,CAL12T,(-)-gallocatechin-3-monogallate,2.743
15,MCF7,(-)-gallocatechin-3-monogallate,2.93
16,NUDUL1,(-)-gallocatechin-3-monogallate,3.043
17,CORL51,(-)-gallocatechin-3-monogallate,3.186
18,CORL23,(-)-gallocatechin-3-monogallate,3.207
19,COLO320,(-)-gallocatechin-3-monogallate,3.317
20,RKO,(-)-gallocatechin-3-monogallate,3.339
21,HCT116,(-)-gallocatechin-3-monogallate,3.341
22,KM12,(-)-gallocatechin-3-monogallate,3.521
23,OVKATE,(-)-gallocatechin-3-monogallate,3.573
24,OCIAML3,(-)-gallocatechin-3-monogallate,3.69
25,NCIH1694,(-)-gallocatechin-3-monogallate,3.913
26,HCC1359,(-)-gallocatechin-3-monogallate,3.928
27,A2780,(-)-gallocatechin-3-monogallate,4.009
28,HCC15,(-)-gallocatechin-3-monogallate,4.06
29,NCIH3255,(-)-gallocatechin-3-monogallate,4.068
30,NCIH441,(-)-gallocatechin-3-monogallate,4.218
31,SNU840,(-)-gallocatechin-3-monogallate,4.24
32,CW2,(-)-gallocatechin-3-monogallate,4.271
33,A375,(-)-gallocatechin-3-monogallate,4.551
34,COV644,(-)-gallocatechin-3-monogallate,4.609
35,HCC2108,(-)-gallocatechin-3-monogallate,4.707
36,SNU398,(-)-gallocatechin-3-monogallate,4.752
37,SKM1,(-)-gallocatechin-3-monogallate,4.851
38,NOMO1,(-)-gallocatechin-3-monogallate,4.915
39,HEC151,(-)-gallocatechin-3-monogallate,4.981
40,LS123,(-)-gallocatechin-3-monogallate,4.982
41,LP1,(-)-gallocatechin-3-monogallate,5.003
42,SNU81,(-)-gallocatechin-3-monogallate,5.026
43,LN229,(-)-gallocatechin-3-monogallate,5.03
44,RMUGS,(-)-gallocatechin-3-monogallate,5.048
45,TYKNU,(-)-gallocatechin-3-monogallate,5.061
46,NCIH1755,(-)-gallocatechin-3-monogallate,5.065
47,HCC2935,(-)-gallocatechin-3-monogallate,5.066
48,NCIH596,(-)-gallocatechin-3-monogallate,5.126
49,RCC10RGB,(-)-gallocatechin-3-monogallate,5.128
50,SKLU1,(-)-gallocatechin-3-monogallate,5.144
51,NCIH2110,(-)-gallocatechin-3-monogallate,5.154
52,NCIH508,(-)-gallocatechin-3-monogallate,5.175
53,MDST8,(-)-gallocatechin-3-monogallate,5.183
54,SW948,(-)-gallocatechin-3-monogallate,5.191
55,NCIH1876,(-)-gallocatechin-3-monogallate,5.194
56,IGROV1,(-)-gallocatechin-3-monogallate,5.202
57,JHOM1,(-)-gallocatechin-3-monogallate,5.207
58,COLO678,(-)-gallocatechin-3-monogallate,5.265
59,LOVO,(-)-gallocatechin-3-monogallate,5.292
60,HCC1833,(-)-gallocatechin-3-monogallate,5.294
61,T3M10,(-)-gallocatechin-3-monogallate,5.3
62,CAOV3,(-)-gallocatechin-3-monogallate,5.304
63,SQ1,(-)-gallocatechin-3-monogallate,5.313
64,NCIH2172,(-)-gallocatechin-3-monogallate,5.327
65,HT1080,(-)-gallocatechin-3-monogallate,5.355
66,NCIH2342,(-)-gallocatechin-3-monogallate,5.356
67,NCIH2023,(-)-gallocatechin-3-monogallate,5.368
68,SNU1040,(-)-gallocatechin-3-monogallate,5.369
69,RPMI8226,(-)-gallocatechin-3-monogallate,5.387
70,RCM1,(-)-gallocatechin-3-monogallate,5.437
71,NCIH2122,(-)-gallocatechin-3-monogallate,5.454
72,U937,(-)-gallocatechin-3-monogallate,5.463
73,SNU61,(-)-gallocatechin-3-monogallate,5.465
74,LS180,(-)-gallocatechin-3-monogallate,5.509
75,OV90,(-)-gallocatechin-3-monogallate,5.51
76,SKMEL5,(-)-gallocatechin-3-monogallate,5.532
77,EFO27,(-)-gallocatechin-3-monogallate,5.544
78,SW620,(-)-gallocatechin-3-monogallate,5.563
79,MOLM16,(-)-gallocatechin-3-monogallate,5.606
80,JHUEM2,(-)-gallocatechin-3-monogallate,5.612
81,THP1,(-)-gallocatechin-3-monogallate,5.62
82,HT115,(-)-gallocatechin-3-monogallate,5.626
83,AMO1,(-)-gallocatechin-3-monogallate,5.628
84,OCILY10,(-)-gallocatechin-3-monogallate,5.631
85,HCC827,(-)-gallocatechin-3-monogallate,5.634
86,SNU175,(-)-gallocatechin-3-monogallate,5.646
87,HCC4006,(-)-gallocatechin-3-monogallate,5.651
88,HT29,(-)-gallocatechin-3-monogallate,5.655
89,OV7,(-)-gallocatechin-3-monogallate,5.655
90,NCIH1781,(-)-gallocatechin-3-monogallate,5.66
91,HCC1195,(-)-gallocatechin-3-monogallate,5.684
92,SKMEL1,(-)-gallocatechin-3-monogallate,5.691
93,EJM,(-)-gallocatechin-3-monogallate,5.712
94,SW480,(-)-gallocatechin-3-monogallate,5.718
95,NCIH460,(-)-gallocatechin-3-monogallate,5.774
96,NCIH841,(-)-gallocatechin-3-monogallate,5.781
97,RKN,(-)-gallocatechin-3-monogallate,5.858
98,NCIH2030,(-)-gallocatechin-3-monogallate,5.861
99,RMGI,(-)-gallocatechin-3-monogallate,5.903
100,JHOC5,(-)-gallocatechin-3-monogallate,5.908
101,HCT8,(-)-gallocatechin-3-monogallate,6.017
102,NCIH2141,(-)-gallocatechin-3-monogallate,6.037
103,NCIH2081,(-)-gallocatechin-3-monogallate,6.061
104,NCIH1836,(-)-gallocatechin-3-monogallate,6.116
105,SCC9,(-)-gallocatechin-3-monogallate,6.128
106,HT55,(-)-gallocatechin-3-monogallate,6.167
107,HEPG2,(-)-gallocatechin-3-monogallate,6.214
108,COV362,(-)-gallocatechin-3-monogallate,6.219
109,AGS,(-)-gallocatechin-3-monogallate,6.258
110,CL34,(-)-gallocatechin-3-monogallate,6.275
111,CL40,(-)-gallocatechin-3-monogallate,6.387
112,OAW42,(-)-gallocatechin-3-monogallate,6.705
113,SNUC4,(-)-gallocatechin-3-monogallate,6.808
114,SKMEL28,(-)-gallocatechin-3-monogallate,6.817
115,RT4,16-beta-bromoandrosterone,2.723
116,NCIH2029,16-beta-bromoandrosterone,3.635
117,NCIH1963,16-beta-bromoandrosterone,3.697
118,OVKATE,16-beta-bromoandrosterone,3.709
119,CORL51,16-beta-bromoandrosterone,3.747
120,SKM1,16-beta-bromoandrosterone,3.771
121,KE97,16-beta-bromoandrosterone,3.886
122,KMS11,16-beta-bromoandrosterone,3.943
123,GDM1,16-beta-bromoandrosterone,3.966
124,NOMO1,16-beta-bromoandrosterone,3.99
125,KU812,16-beta-bromoandrosterone,4.109
126,SW48,16-beta-bromoandrosterone,4.117
127,SUDHL5,16-beta-bromoandrosterone,4.118
128,LS513,16-beta-bromoandrosterone,4.127
129,SHP77,16-beta-bromoandrosterone,4.15
130,OVCAR8,16-beta-bromoandrosterone,4.187
131,OCIAML3,16-beta-bromoandrosterone,4.192
132,OVCAR4,16-beta-bromoandrosterone,4.278
133,NCIH23,16-beta-bromoandrosterone,4.347
134,G401,16-beta-bromoandrosterone,4.391
135,NCIH810,16-beta-bromoandrosterone,4.479
136,PL21,16-beta-bromoandrosterone,4.506
137,MFE319,16-beta-bromoandrosterone,4.52
138,HT1376,16-beta-bromoandrosterone,4.551
139,NCIH1048,16-beta-bromoandrosterone,4.561
140,LP1,16-beta-bromoandrosterone,4.662
141,NCIH1568,16-beta-bromoandrosterone,4.673
142,NCIH1836,16-beta-bromoandrosterone,4.727
143,HT,16-beta-bromoandrosterone,4.797
144,NCIH1694,16-beta-bromoandrosterone,4.803
145,HEC151,16-beta-bromoandrosterone,4.807
146,NCIH522,16-beta-bromoandrosterone,4.821
147,NCIH1299,16-beta-bromoandrosterone,4.826
148,SNU398,16-beta-bromoandrosterone,4.827
149,COLO205,16-beta-bromoandrosterone,4.957
150,NCIH28,16-beta-bromoandrosterone,4.958
151,NCIH1876,16-beta-bromoandrosterone,4.979
152,MSTO211H,16-beta-bromoandrosterone,4.981
153,RMUGS,16-beta-bromoandrosterone,5.03
154,KYSE140,16-beta-bromoandrosterone,5.073
155,OVK18,16-beta-bromoandrosterone,5.095
156,COV434,16-beta-bromoandrosterone,5.137
157,LU99,16-beta-bromoandrosterone,5.151
158,SCLC21H,16-beta-bromoandrosterone,5.158
159,NCIH2081,16-beta-bromoandrosterone,5.182
160,CORL88,16-beta-bromoandrosterone,5.206
161,NCIH661,16-beta-bromoandrosterone,5.227
162,CHAGOK1,16-beta-bromoandrosterone,5.251
163,QGP1,16-beta-bromoandrosterone,5.284
164,WSUDLCL2,16-beta-bromoandrosterone,5.292
165,U937,16-beta-bromoandrosterone,5.33
166,NCIH2342,16-beta-bromoandrosterone,5.331
167,RMGI,16-beta-bromoandrosterone,5.34
168,LCLC97TM1,16-beta-bromoandrosterone,5.351
169,HEC251,16-beta-bromoandrosterone,5.357
170,NCIH358,16-beta-bromoandrosterone,5.363
171,DLD1,16-beta-bromoandrosterone,5.367
172,THP1,16-beta-bromoandrosterone,5.375
173,NCIH2110,16-beta-bromoandrosterone,5.381
174,RPMI8226,16-beta-bromoandrosterone,5.389
175,BL70,16-beta-bromoandrosterone,5.394
176,HSC2,16-beta-bromoandrosterone,5.395
177,SNUC5,16-beta-bromoandrosterone,5.404
178,P3HR1,16-beta-bromoandrosterone,5.418
179,NCIH82,16-beta-bromoandrosterone,5.437
180,CORL279,16-beta-bromoandrosterone,5.44
181,CW2,16-beta-bromoandrosterone,5.443
182,GP2D,16-beta-bromoandrosterone,5.454
183,KP3,16-beta-bromoandrosterone,5.455
184,COLO741,16-beta-bromoandrosterone,5.496
185,VMRCLCD,16-beta-bromoandrosterone,5.551
186,HEC265,16-beta-bromoandrosterone,5.557
187,G361,16-beta-bromoandrosterone,5.577
188,EBC1,16-beta-bromoandrosterone,5.595
189,NCIH1975,16-beta-bromoandrosterone,5.604
190,HCC78,16-beta-bromoandrosterone,5.611
191,SNU175,16-beta-bromoandrosterone,5.619
192,SNU81,16-beta-bromoandrosterone,5.623
193,COLO668,16-beta-bromoandrosterone,5.631
194,JHOC5,16-beta-bromoandrosterone,5.65
195,HEC6,16-beta-bromoandrosterone,5.676
196,HCC33,16-beta-bromoandrosterone,5.702
197,NCIH1930,16-beta-bromoandrosterone,5.702
198,NCIH1373,16-beta-bromoandrosterone,5.747
199,NCIH1573,16-beta-bromoandrosterone,5.751
200,NCIH841,16-beta-bromoandrosterone,5.754
